#s0t(=zero)  X      s1t         X     t1         X       S0c        x       S1c         x
0            2      0.04599     2     0.04416     6      0.024171   10      0.07019     10
0            4      0.04599     4     0.04416     8       0.024171   12      0.07019     12


